,Unnamed: 0,sector,name,x,y,loc
57,57,"Sector 3, Gurugram, Haryana, India",Sector 5 / Prakashpuri Chowk,28.480115100000003,77.0149572,"[28.480115100000003,77.0149572]"
58,58,"Sector 3, Gurugram, Haryana, India",Baba Prakash Puri Chowk A,28.480318,77.01366,"[28.480318,77.01366]"
59,59,"Sector 3, Gurugram, Haryana, India",Sector 5 / Prakashpuri Chowk,28.479875,77.01481299999998,"[28.479875,77.01481299999998]"
60,60,"Sector 4, Gurugram, Haryana 122001, India",Chintpurni Mandir,28.477396999999996,77.015923,"[28.477396999999996,77.015923]"
61,61,"Sector 4, Gurugram, Haryana 122001, India",Vishwakarma Chowk,28.4740934,77.01751449999998,"[28.4740934,77.01751449999998]"
62,62,"Sector 4, Gurugram, Haryana 122001, India",Chintpurni Mandir,28.477265999999997,77.01624,"[28.477265999999997,77.01624]"
63,63,"Sector 4, Gurugram, Haryana 122001, India",Vishwakarma Chowk,28.474224,77.01772,"[28.474224,77.01772]"
64,64,"Sector 4, Gurugram, Haryana 122001, India",Laxman Vihar,28.478151,77.00739200000001,"[28.478151,77.00739200000001]"
65,65,"Sector 4, Gurugram, Haryana 122001, India",Laxman Vihar,28.478359,77.007498,"[28.478359,77.007498]"
66,66,"Sector 4, Gurugram, Haryana 122001, India",Vishwakarma Chowk,28.473378999999998,77.018478,"[28.473378999999998,77.018478]"
67,67,"Sector 4, Gurugram, Haryana 122001, India",Vishwakarma Chowk,28.4735277,77.0185395,"[28.4735277,77.0185395]"
70,70,"Sector 4, Gurugram, Haryana 122001, India",Sector 4 Police Station,28.472419,77.00399499999999,"[28.472419,77.00399499999999]"
72,72,"Sector 4, Gurugram, Haryana 122001, India",Sector 4 Police Station,28.47260000000001,77.0038,"[28.47260000000001,77.0038]"
75,75,"Sector 4, Gurugram, Haryana 122001, India",Surya Vihar,28.47679999999999,77.0031,"[28.47679999999999,77.0031]"
76,76,"Sector 4, Gurugram, Haryana 122001, India",Firoz Gandhi Colony 2,28.468714000000002,77.004768,"[28.468714000000002,77.004768]"
77,77,"Sector 4, Gurugram, Haryana 122001, India",Surya Vihar,28.476615000000002,77.002943,"[28.476615000000002,77.002943]"
100,100,"Sector 6, Gurugram, Haryana 122001, India",Bhimnagar,28.469920000000002,77.023578,"[28.469920000000002,77.023578]"
101,101,"Sector 6, Gurugram, Haryana 122001, India",Bhimnagar,28.469716,77.023512,"[28.469716,77.023512]"
102,102,"Sector 6, Gurugram, Haryana 122001, India",Sheetla Mata Mandir (B),28.479983,77.027562,"[28.479983,77.027562]"
103,103,"Sector 6, Gurugram, Haryana 122001, India",Sheetla Mata Mandir (B),28.4801,77.0278,"[28.4801,77.0278]"
104,104,"Sector 6, Gurugram, Haryana 122001, India",Sheetla Mata Mandir (A),28.478934000000002,77.031508,"[28.478934000000002,77.031508]"
105,105,"Sector 6, Gurugram, Haryana 122001, India",Sheetla Mata Mandir (A),28.479189,77.031363,"[28.479189,77.031363]"
108,108,"Sector 6, Gurugram, Haryana 122001, India",Rajeev Nagar,28.473646000000002,77.03438,"[28.473646000000002,77.03438]"
109,109,"Sector 6, Gurugram, Haryana 122001, India",Miyan Wali Colony,28.467271000000004,77.027225,"[28.467271000000004,77.027225]"
110,110,"Sector 6, Gurugram, Haryana 122001, India",Ravi Nagar,28.47336989999999,77.0345801,"[28.47336989999999,77.0345801]"
112,112,"Sector 6, Gurugram, Haryana 122001, India",Miyan Wali Colony,28.466971,77.027272,"[28.466971,77.027272]"
114,114,"Sector 6, Gurugram, Haryana 122001, India",Sector 12 Chowk,28.470093,77.033959,"[28.470093,77.033959]"
115,115,"Sector 6, Gurugram, Haryana 122001, India",Sector 12 Chowk,28.470131,77.034217,"[28.470131,77.034217]"
118,118,"Sector 6, Gurugram, Haryana 122001, India",CRPF Camp Chowk,28.47859699999999,77.034671,"[28.47859699999999,77.034671]"
119,119,"Sector 6, Gurugram, Haryana 122001, India",CRPF Camp Chowk,28.478414,77.034871,"[28.478414,77.034871]"
121,121,"Sector 7, Gurugram, Haryana 122001, India",Sector 9 ESIC Hospital,28.4674732,77.0009594,"[28.4674732,77.0009594]"
124,124,"Sector 7, Gurugram, Haryana 122001, India",Sector 9/9A,28.4657,76.9957,"[28.4657,76.9957]"
125,125,"Sector 7, Gurugram, Haryana 122001, India",Sector 9/9A,28.4653,76.99511600000001,"[28.4653,76.99511600000001]"
128,128,"Sector 7, Gurugram, Haryana 122001, India",Junction Bus Stop,28.456967300000002,77.01583120000001,"[28.456967300000002,77.01583120000001]"
131,131,"Sector 7, Gurugram, Haryana 122001, India",Pataudi Chowk,28.456992,77.016855,"[28.456992,77.016855]"
134,134,"Sector 7, Gurugram, Haryana 122001, India",Pataudi Chowk,28.4568428,77.01681640000001,"[28.4568428,77.01681640000001]"
137,137,"Sector 7, Gurugram, Haryana 122001, India",Shakti Nagar,28.454029,77.013374,"[28.454029,77.013374]"
138,138,"Sector 7, Gurugram, Haryana 122001, India",Shiv Nagar,28.452946,77.009351,"[28.452946,77.009351]"
139,139,"Sector 7, Gurugram, Haryana 122001, India",Shakti Nagar,28.45413,77.013848,"[28.45413,77.013848]"
140,140,"Sector 8, IMT Manesar, Gurugram, Haryana, India",Alimar More,28.372263,76.896299,"[28.372263,76.896299]"
141,141,"Sector 8, IMT Manesar, Gurugram, Haryana, India",Alimar More,28.372106,76.896558,"[28.372106,76.896558]"
142,142,"Sector 8, IMT Manesar, Gurugram, Haryana, India",Maruti Gate Number 1,28.369273,76.89462999999998,"[28.369273,76.89462999999998]"
143,143,"Sector 8, IMT Manesar, Gurugram, Haryana, India",Maruti Gate Number 1,28.36903,76.894539,"[28.36903,76.894539]"
144,144,"Sector 8, IMT Manesar, Gurugram, Haryana, India",Maruti Gate Number 2,28.369321000000003,76.890513,"[28.369321000000003,76.890513]"
145,145,"Sector 8, IMT Manesar, Gurugram, Haryana, India",Maruti Gate Number 2,28.36908,76.88989000000001,"[28.36908,76.88989000000001]"
146,146,"Sector 8, IMT Manesar, Gurugram, Haryana, India",Maruti Suzuki,28.368771999999996,76.904639,"[28.368771999999996,76.904639]"
147,147,"Sector 8, IMT Manesar, Gurugram, Haryana, India",Maruti Suzuki,28.368256,76.90492900000001,"[28.368256,76.90492900000001]"
148,148,"Sector 8, IMT Manesar, Gurugram, Haryana, India",Bans More,28.36525199999999,76.904816,"[28.36525199999999,76.904816]"
149,149,"Sector 8, IMT Manesar, Gurugram, Haryana, India",Bans More,28.364988,76.904761,"[28.364988,76.904761]"
150,150,"Sector 8, IMT Manesar, Gurugram, Haryana, India",Maruti Gate Number 3,28.369428000000003,76.884248,"[28.369428000000003,76.884248]"
151,151,"Sector 8, IMT Manesar, Gurugram, Haryana, India",Maruti Gate Number 3,28.369181,76.88369200000001,"[28.369181,76.88369200000001]"
152,152,"Sector 8, IMT Manesar, Gurugram, Haryana, India",Kasan,28.36165,76.904837,"[28.36165,76.904837]"
153,153,"Sector 8, IMT Manesar, Gurugram, Haryana, India",Kasan,28.361302000000002,76.9046,"[28.361302000000002,76.9046]"
